pickup_hour,trip_distance,fare_amount,total_amount,passenger_count,trip_volume
2024-11-22 17:00:00,2.466507839187177,17.716177629850225,27.680544801611635,1,11417
2024-11-22 18:00:00,2.380095674863604,17.224740254605837,26.958468411480982,1,12647
2024-11-22 19:00:00,2.493707736389685,16.967941738299906,26.315808978032475,1,10470
2024-11-22 20:00:00,3.0317488789237665,18.062630792227207,26.33027595722663,1,8697
2024-11-22 21:00:00,3.096857555341675,17.985453561116458,26.314882098171317,1,8312
2024-11-22 22:00:00,3.0210050371791795,17.783277764451906,25.97630726792996,1,8338
2024-11-22 23:00:00,3.2894738955823293,18.15715528781794,26.525712182061582,1,7470
2024-11-23 00:00:00,3.3928892318244173,17.650788751714675,25.823822016460905,1,5832
2024-11-23 01:00:00,3.000974212034384,15.960451840423188,23.18890676658585,1,4537
2024-11-23 02:00:00,2.765482728077945,15.394109831709477,22.35635961027458,1,3387
2024-11-23 03:00:00,2.870041436464088,15.260842541436466,22.33892725598527,1,2172
2024-11-23 04:00:00,4.095354330708661,19.8349343832021,27.518451443569553,1,1143
2024-11-23 05:00:00,6.6545261669024045,27.980155586987273,37.373861386138614,1,707
2024-11-23 06:00:00,5.444241071428571,24.31515178571429,32.80023214285715,1,1120
2024-11-23 07:00:00,4.743763509218055,21.60990464081373,29.655931341385887,1,1573
2024-11-23 08:00:00,3.826671767406274,18.31245600612089,25.970447589900534,1,2614
2024-11-23 09:00:00,3.1618913095523102,16.429667225281303,23.676887718458225,1,4177
2024-11-23 10:00:00,2.870622988070441,15.89560499905321,23.131980685476236,1,5281
2024-11-23 11:00:00,2.799824037706206,16.31827965435978,23.697110761979573,1,6365
2024-11-23 12:00:00,2.7386298044504382,16.79172218476062,24.00783412002697,1,7415
2024-11-23 13:00:00,3.064878178671282,18.509833577419784,26.125646385301557,1,7511
2024-11-23 14:00:00,3.203583745488571,19.27460499933164,27.017303836385512,1,7481
2024-11-23 15:00:00,3.077354221061793,19.113720004973267,26.772327489742633,1,8043
2024-11-23 16:00:00,3.0737382635910513,19.344907847455662,27.03743016112206,1,8627
2024-11-23 17:00:00,2.948618536371604,18.807704864154253,26.35927695004382,1,9128
